STARTING NiCd/NiMH CHARGE
Vmax: 10.68, Imax: 0.04, #cells: 6
V;I;tHrs;tMin;tSec;PWM
 8.91;0.04;00:04:54;080
 8.92;0.04;00:04:55;080
 8.92;0.04;00:04:56;080
 8.92;0.03;00:04:57;081
 8.92;0.04;00:04:58;080
 8.92;0.04;00:04:59;079
 8.92;0.04;00:05:00;080
 8.92;0.04;00:05:01;080
 8.92;0.04;00:05:02;080
 8.93;0.03;00:05:03;081
 8.93;0.03;00:05:04;081
 8.93;0.04;00:05:05;080
 8.92;0.04;00:05:06;080
 8.94;0.03;00:05:07;080
 8.94;0.04;00:05:08;080
 8.94;0.04;00:05:09;080
 8.94;0.03;00:05:10;081
 8.94;0.04;00:05:11;080
 8.94;0.04;00:05:12;084
 8.95;0.04;00:05:13;086
 8.95;0.03;00:05:14;085
 8.95;0.04;00:05:15;084
 8.95;0.04;00:05:16;084
 8.95;0.03;00:05:17;086
 8.95;0.04;00:05:18;083
 8.95;0.04;00:05:19;084
 8.95;0.04;00:05:20;083
 8.95;0.04;00:05:21;086
 8.95;0.04;00:05:22;081
 8.95;0.03;00:05:23;085
 8.95;0.03;00:05:24;085
 8.97;0.04;00:05:25;086
 8.96;0.04;00:05:26;085
 8.96;0.04;00:05:27;084
 8.97;0.04;00:05:28;085
 8.96;0.04;00:05:29;081
 8.97;0.03;00:05:30;085
 8.97;0.03;00:05:31;085
 8.97;0.04;00:05:32;084
 8.97;0.04;00:05:33;084
 8.97;0.04;00:05:34;084
 8.97;0.04;00:05:35;085
 8.97;0.04;00:05:36;084
 8.97;0.04;00:05:37;081
 8.97;0.04;00:05:38;083
 8.97;0.04;00:05:39;082
 8.97;0.04;00:05:40;083
 8.97;0.04;00:05:41;081
 8.97;0.03;00:05:42;082
 8.98;0.04;00:05:43;083
 8.97;0.04;00:05:44;082
 8.98;0.03;00:05:45;085
 8.98;0.04;00:05:46;083
 8.98;0.04;00:05:47;083
 8.98;0.03;00:05:48;083
 8.98;0.04;00:05:49;082
 8.98;0.03;00:05:50;083
 8.98;0.03;00:05:51;085
 8.98;0.04;00:05:52;083
 8.98;0.03;00:05:53;083
 8.98;0.04;00:05:54;083
 8.98;0.03;00:05:55;083
 8.98;0.04;00:05:56;082
 8.99;0.03;00:05:57;083
 8.98;0.04;00:05:58;082
 9.00;0.04;00:05:59;083
 9.00;0.04;00:06:00;083
 9.00;0.04;00:06:01;083
 9.00;0.04;00:06:02;083
 9.00;0.03;00:06:03;083
 9.00;0.04;00:06:04;083
 9.00;0.04;00:06:05;083
 9.00;0.04;00:06:06;083
 9.00;0.04;00:06:07;085
 9.00;0.04;00:06:08;084
 9.00;0.03;00:06:09;084
 9.00;0.04;00:06:10;083
 9.00;0.04;00:06:11;083
 9.00;0.04;00:06:12;085
 9.01;0.04;00:06:13;086
 9.01;0.04;00:06:14;086
 9.01;0.04;00:06:15;087
 9.01;0.03;00:06:16;087
 9.01;0.03;00:06:17;088
 9.01;0.04;00:06:18;086
 9.01;0.04;00:06:19;084
 9.01;0.04;00:06:20;086
 9.01;0.04;00:06:21;085
 9.01;0.04;00:06:22;083
 9.01;0.03;00:06:23;085
 9.01;0.03;00:06:24;084
 9.01;0.03;00:06:25;084
 9.01;0.03;00:06:26;085
 9.01;0.04;00:06:27;084
 9.01;0.04;00:06:28;083
 9.01;0.04;00:06:29;084
 9.01;0.04;00:06:30;083
 9.02;0.04;00:06:31;088
 9.01;0.03;00:06:32;084
 9.01;0.04;00:06:33;084
 9.02;0.03;00:06:34;084
 9.02;0.04;00:06:35;084
 9.02;0.04;00:06:36;084
 9.02;0.04;00:06:37;084
 9.02;0.04;00:06:38;084
 9.02;0.04;00:06:39;084
 9.02;0.03;00:06:40;085
 9.02;0.03;00:06:41;085
 9.02;0.04;00:06:42;084
 9.02;0.04;00:06:43;084
 9.02;0.04;00:06:44;084
 9.02;0.04;00:06:45;084
 9.02;0.04;00:06:46;084
 9.02;0.03;00:06:47;085
 9.02;0.03;00:06:48;086
 9.03;0.03;00:06:49;085
 9.02;0.04;00:06:50;084
 9.03;0.04;00:06:51;084
 9.02;0.04;00:06:52;084
 9.04;0.04;00:06:53;084
 9.04;0.04;00:06:54;084
 9.04;0.04;00:06:55;085
 9.04;0.03;00:06:56;086
 9.04;0.03;00:06:57;085
 9.04;0.03;00:06:58;085
 9.04;0.04;00:06:59;085
 9.04;0.04;00:07:00;085
 9.04;0.04;00:07:01;085
 9.04;0.04;00:07:02;085
 9.04;0.04;00:07:03;085
 9.04;0.03;00:07:04;086
 9.04;0.03;00:07:05;087
 9.04;0.03;00:07:06;087
 9.04;0.04;00:07:07;085
 9.04;0.04;00:07:08;085
 9.04;0.04;00:07:09;085
 9.04;0.04;00:07:10;085
 9.04;0.04;00:07:11;085
 9.04;0.04;00:07:12;085
 9.05;0.04;00:07:13;085
 9.05;0.03;00:07:14;086
 9.05;0.03;00:07:15;087
 9.05;0.04;00:07:16;085
 9.05;0.04;00:07:17;085
 9.05;0.04;00:07:18;085
 9.05;0.04;00:07:19;085
 9.05;0.03;00:07:20;086
 9.05;0.04;00:07:21;085
 9.05;0.04;00:07:22;086
 9.05;0.03;00:07:23;085
 9.05;0.04;00:07:24;085
 9.05;0.04;00:07:25;086
 9.05;0.04;00:07:26;085
 9.05;0.03;00:07:27;085
 9.05;0.03;00:07:28;086
 9.05;0.03;00:07:29;086
 9.05;0.03;00:07:30;086
 9.06;0.03;00:07:31;085
 9.05;0.04;00:07:32;085
 9.05;0.04;00:07:33;084
 9.07;0.03;00:07:34;087
 9.06;0.04;00:07:35;085
 9.05;0.04;00:07:36;084
 9.07;0.04;00:07:37;085
 9.07;0.04;00:07:38;085
 9.07;0.04;00:07:39;085
 9.07;0.03;00:07:40;086
 9.07;0.04;00:07:41;084
 9.07;0.04;00:07:42;084
 9.07;0.04;00:07:43;085
 9.07;0.04;00:07:44;086
 9.07;0.04;00:07:45;084
 9.07;0.04;00:07:46;086
 9.07;0.03;00:07:47;087
 9.07;0.04;00:07:48;084
 9.07;0.04;00:07:49;085
 9.07;0.04;00:07:50;085
 9.07;0.03;00:07:51;086
 9.07;0.04;00:07:52;085
 9.07;0.04;00:07:53;085
 9.07;0.03;00:07:54;086
 9.07;0.03;00:07:55;086
 9.07;0.03;00:07:56;086
 9.08;0.03;00:07:57;087
 9.07;0.03;00:07:58;085
 9.07;0.04;00:07:59;085
 9.08;0.04;00:08:00;086
 9.08;0.04;00:08:01;086
 9.08;0.03;00:08:02;088
 9.08;0.04;00:08:03;085
 9.08;0.04;00:08:04;086
 9.08;0.04;00:08:05;085
 9.08;0.03;00:08:06;086
 9.08;0.04;00:08:07;086
 9.08;0.04;00:08:08;086
 9.08;0.04;00:08:09;086
 9.08;0.03;00:08:10;087
 9.08;0.04;00:08:11;087
 9.08;0.03;00:08:12;087
 9.08;0.04;00:08:13;086
 9.08;0.04;00:08:14;086
 9.08;0.04;00:08:15;087
 9.08;0.03;00:08:16;086
 9.08;0.04;00:08:17;086
 9.08;0.04;00:08:18;086
 9.08;0.03;00:08:19;086
 9.08;0.04;00:08:20;086
 9.08;0.04;00:08:21;086
 9.08;0.04;00:08:22;086
 9.09;0.04;00:08:23;086
 9.09;0.04;00:08:24;086
 9.10;0.04;00:08:25;086
 9.10;0.04;00:08:26;086
 9.10;0.04;00:08:27;086
 9.10;0.04;00:08:28;086
 9.10;0.04;00:08:29;085
 9.10;0.04;00:08:30;086
 9.10;0.04;00:08:31;086
 9.10;0.04;00:08:32;086
 9.10;0.04;00:08:33;087
